title,star,review,date,help,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
fake product.. dont buy form amazone,1.0 out of 5 stars,fake product dont buy from cloudtail india... buy from main outlet in your city... quality is different,Reviewed in India on 13 September 2017,9 people found this helpful,,
Awesome,5.0 out of 5 stars,Awesome Product,Reviewed in India on 1 December 2020,,,
"Nice product, please reduce prices",4.0 out of 5 stars,the product is good but a bit expensive,Reviewed in India on 13 November 2021,,,
Truly luxury beauty,5.0 out of 5 stars,I love this face wash so much! I don’t like scented face washes but this having natural products has a mesmerising scent. It cleans the skin so gently and the whole experience is like pampering your skin. Good value for money as well. Highly recommended.,Reviewed in India on 17 October 2021,,,
Nobody beats forest essentials.....,5.0 out of 5 stars,I m using a past 3 years and believe me year by year they improve their qualities......best face washes.....cheap things can't be effective like costly things...,Reviewed in India on 15 July 2020,,,
Good face wash,5.0 out of 5 stars,Excellent value for money,Reviewed in India on 30 October 2021,,,
Very good product,5.0 out of 5 stars,Must have this if looking for a premium product,Reviewed in India on 26 October 2021,,,
